"drink type","identifier","current jar","name","manufacturer","description","grams of tea","grams of water","brewwing temperature","steeping time","brewing method","type of tea","in stock"
"Loose-leaf tea","1","1","Ti-Kwan-Yin Oolong","High Rise Tea","N/A","3.0","300.0","99","2 to 3","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Oolong","true"
"Loose-leaf tea","2","2","Rooibos Kimberly","High Rise Tea","N/A","3.0","300.0","99","5 to 6","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Rooibos","true"
"Loose-leaf tea","3","3","Fruit Aroma Yixing Black Tea","Yunnan Sourcing","First flush harvest black tea from Yixing in Jiangsu. The home of the world famous Purple Zisha Clay Teapots is also an area that produces some less-known but still world-class black tea! We are proud to offer three grades of Yixing Hong for you to enjoy! This is a unique style of Yixing black tea that is processed to emphasize the sweet fruity character that this tea has. Sweet, fruity, and malty! Very smooth and enjoyable daily drinker black tea! Harvested in Late-April each year! Yixing Township in Jiangsu Province.","2.4","300.0","90","2 to 3","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Black","true"
"Loose-leaf tea","4","4","Jasmine Silver Needles White Tea of Yunnan","Yunnan Sourcing","Spring harvest silver needles white tea from the mountains of Simao was infused with high quality Yunnan grown jasmine flowers. A nice balanced sweet jasmine tea with notes of sugarcane and fruit. Naturally processed from start to finish. Very pleasant to drink! Spring Harvest Tea (April) and Jasmine Flowers Harvested in May.","1.8","300.0","85","3 to 4","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","White","true"
"Loose-leaf tea","5","5","Feng Qing Premium Black Gold Pearls Black Tea","Yunnan Sourcing","First Flush of Spring Black Tea! Feng Qing area tippy grade black tea has been hand-rolled into these convenient little black tea pearls. Complex flavors are revealed as the tea gradually unfolds with multiple infusions. Hints of malt and chocolate with a sweet and spicy after-taste gives this tea a taste experience that rivals it's simple beauty. Each pearl is roughly 3 grams. Drop a few into your gaiwan or teapot and enjoy! March Harvest.","1.0","300.0","90","4 to 6","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Black","true"
"Loose-leaf tea","6","6","Premium Anxi Huang Jin Gui Oolang Tea of Fujian","Yunnan Sourcing","Huang Jin Gui (Golden Turtle) is another varietal of Anxi Oolong tea. Lacking the slight sour-bitterness of Tie Guan Yin, it is characterized by a smooth sweet flavor with a rich slightly nutty after-taste. Our Premium grade is the highest grade of Huang Jin Gui that is normally available! Gan De Village in Anxi County.","3.0","300.0","99","2 to 3","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Oolong","true"
"Loose-leaf tea","7","7","Pink Rose Lemonade","The Tea Spot","Like a fancy floral confection, this delicately handcrafted tea will refresh and soothe your palate. Lemon, rose, mint, chamomile, and lavender create a swirling collage of flowers with a hint of lemon and wintergreen. Totally guilt-free, and naturally sweet.","3.0","300.0","99","5 to 6","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Herbal","true"
"Loose-leaf tea","8","8","Detox","The Tea Spot","Enjoy the effects of botanical ingredients like sage, lemon balm, lemongrass and lemon peel for a soothing natural cleanse. Your body is constantly being challenged by everyday toxins like alcohol, smoke, food additives, and stress. The citrus and sage make Detox prepare your body for healthful cleansing in a most delicious way. Every cup will leave you feeling naturally refreshed as you stimulate your body's immune system. The perfect replacement for fans of our former Restore blend.","3.0","300.0","99","5 to 6","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Herbal","true"
"Loose-leaf tea","9","9","Turmeric Tonic","The Tea Spot","Nurturing yourself is downright delicious with our award-winning detox tea that provides three active root ingredients in support of a healthy diet and lifestyle. Show your body some love. Ginger, turmeric, sarsaparilla and nettle have been used traditionally for generations to support joint health. The less inflammation your body has to deal with, the more it can focus on rejuvenating and toning. Enjoy this spicy elixir hot, iced, straight up, or as a golden milk latte.","3.0","300.0","99","6+","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Herbal","true"
"Loose-leaf tea","10","10","Organic Meditative Mind","The Tea Spot","Our beloved handcrafted blend of pure white tea, rosebuds & jasmine pearls creates an experience of aromatherapy that relaxes the mind and arouses the senses. Brews into a golden liquor with a very soothing fragrance. Perfect before, during, or after a stressful day.","2.0","300.0","80","2 to 3","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","White","true"
